"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus_species"
"OTU.482","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales",NA,NA,NA,"Phaeomoniellales sp."
"OTU.647","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",NA,NA,"Sympoventuriaceae sp."
"OTU.680","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,"Leotiomycetes sp."
"OTU.725","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.248","Fungi","Ascomycota","Leotiomycetes","Triblidiales","Triblidiaceae","Pseudographis","pinicola","Pseudographis pinicola"
"OTU.470","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tympanis","hansbroughiana","Tympanis hansbroughiana"
"OTU.738","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Catenulifera",NA,"Catenulifera sp."
"OTU.691","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiales_fam_Incertae_sedis",NA,NA,"Myriangiales_fam_Incertae_sedis sp."
"OTU.635","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae",NA,NA,"Hyaloscyphaceae sp."
"OTU.767","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae",NA,NA,"Hyaloscyphaceae sp."
"OTU.553","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Dermea","libocedri","Dermea libocedri"
"OTU.484","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Sarcinomyces","crustaceus","Sarcinomyces crustaceus"
"OTU.780","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae",NA,NA,"Rhytismataceae sp."
"OTU.891","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"Basidiomycota sp."
"OTU.24","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.461","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella",NA,"Mycosphaerella sp."
"OTU.256","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.710","Fungi","Ascomycota","Leotiomycetes","Rhytismatales",NA,NA,NA,"Rhytismatales sp."
"OTU.830","Fungi","Ascomycota","Leotiomycetes","Phacidiales","Phacidiaceae","Darkera","picea","Darkera picea"
"OTU.658","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Phaeotheca","fissurella","Phaeotheca fissurella"
"OTU.554","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","nigrum","Epicoccum nigrum"
"OTU.33","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Amphosoma","persooniae","Amphosoma persooniae"
"OTU.427","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia",NA,"Venturia sp."
"OTU.905","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","sanguinolentum","Stereum sanguinolentum"
"OTU.866","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"Basidiomycota sp."
"OTU.70","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.675","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Micraspis","strobilina","Micraspis strobilina"
"OTU.884","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Euantennariaceae","Rasutoria","pseudotsugae","Rasutoria pseudotsugae"
"OTU.450","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.490","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.84","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Chaetothyriales sp."
"OTU.138","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae",NA,NA,"Cyphellophoraceae sp."
"OTU.777","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis",NA,NA,"Helotiales_fam_Incertae_sedis sp."
"OTU.817","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"Helotiales sp."
"OTU.354","Fungi","Basidiomycota","Cystobasidiomycetes",NA,NA,NA,NA,"Cystobasidiomycetes sp."
"OTU.310","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiales_fam_Incertae_sedis","Phaeosclera","dematioides","Phaeosclera dematioides"
"OTU.952","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae",NA,NA,"Hyaloscyphaceae sp."
"OTU.103","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA,"Cyphellophora sp."
"OTU.1078","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe",NA,"Elsinoe sp."
"OTU.614","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA,"Orbiliales sp."
"OTU.1084","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.243","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.1107","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Calyptella",NA,"Calyptella sp."
"OTU.978","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae",NA,NA,"Venturiaceae sp."
"OTU.196","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.642","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,"Leotiomycetes sp."
"OTU.1149","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Trichaptum","abietinum","Trichaptum abietinum"
"OTU.1168","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA,"Sporidiobolales sp."
"OTU.1166","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae",NA,NA,"Rhytismataceae sp."
"OTU.1110","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","ruber","Aspergillus ruber"
"OTU.1194","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiales_fam_Incertae_sedis",NA,NA,"Myriangiales_fam_Incertae_sedis sp."
